Route Number,ETA,Distance,Route,Time
1,38 min,16 mi,"via I-78, Holland Tunnel",Wed Jul 25 12:52:37 2018
2,38 min,15 mi,"via US-1, US-1-9 Express Lane N",Wed Jul 25 12:52:37 2018
3,44 min,15 mi,"via US-1, US-1 Express Lane N",Wed Jul 25 12:52:37 2018
1,38 min,16 mi,"via I-78, Holland Tunnel",Wed Jul 25 12:52:49 2018
2,38 min,15 mi,"via US-1, US-1-9 Express Lane N",Wed Jul 25 12:52:49 2018
3,44 min,15 mi,"via US-1, US-1 Express Lane N",Wed Jul 25 12:52:49 2018
