Route Number,ETA,Distance,Route,Time
1,24 min,16 mi,via I-90,Mon Aug 13 11:15:46 2018
2,26 min,16 mi,via I-90,Mon Aug 13 11:15:46 2018
1,24 min,16 mi,via I-90,Mon Aug 13 11:15:54 2018
2,26 min,16 mi,via I-90,Mon Aug 13 11:15:54 2018
