Route Number,ETA,Distance,Route,Time
1,24 min,22 mi,via I-405,Mon Aug 13 11:16:08 2018
2,31 min,28 mi,"via CA-91, I-405",Mon Aug 13 11:16:08 2018
1,24 min,22 mi,via I-405,Mon Aug 13 11:16:16 2018
2,31 min,28 mi,"via CA-91, I-405",Mon Aug 13 11:16:16 2018
