Route Number,ETA,Distance,Route,Time
1,22 min,23 mi,via I-15,Mon Aug 13 11:14:56 2018
2,26 min,24 mi,"via I-15, Old Highway 395",Mon Aug 13 11:14:56 2018
1,22 min,23 mi,via I-15,Mon Aug 13 11:15:04 2018
2,26 min,24 mi,"via I-15, Old Highway 395",Mon Aug 13 11:15:04 2018
1,22 min,23 mi,via I-15,Mon Aug 13 11:15:11 2018
2,26 min,24 mi,"via I-15, Old Highway 395",Mon Aug 13 11:15:11 2018
