Route Number,ETA,Distance,Route,Time
1,22min,21.8mi,via I-405 S,Mon Aug 13 11:20:45 2018
2,29min,26.0mi,via CA-91 E,Mon Aug 13 11:20:45 2018
1,22min,21.8mi,via I-405 S,Mon Aug 13 11:21:05 2018
2,29min,26.0mi,via CA-91 E,Mon Aug 13 11:21:05 2018
