Route Number,ETA,Distance,Route,Time
1,17min,21.1mi,via I-15 S,Mon Aug 13 11:36:16 2018
1,17min,21.1mi,via I-15 S,Mon Aug 13 11:36:35 2018
1,17min,21.1mi,via I-15 S,Mon Aug 13 11:36:44 2018
1,17min,21.1mi,via I-15 S,Mon Aug 13 11:36:53 2018
