Route Number,ETA,Distance,Route,Time
1,30min,33.4mi,via I-95 N,Mon Aug 13 11:18:04 2018
2,46min,33.0mi,via US-1 N,Mon Aug 13 11:18:04 2018
1,30min,33.4mi,via I-95 N,Mon Aug 13 11:18:15 2018
2,46min,33.0mi,via US-1 N,Mon Aug 13 11:18:15 2018
1,30min,33.4mi,via I-95 N,Mon Aug 13 11:18:23 2018
2,46min,33.0mi,via US-1 N,Mon Aug 13 11:18:23 2018
