Route Number,ETA,Distance,Route,Time
1,40min,15.5mi,via I-278 W,Mon Aug 13 11:21:27 2018
1,39min,15.5mi,via I-278 W,Mon Aug 13 11:21:38 2018
1,40min,15.5mi,via I-278 W,Mon Aug 13 11:21:46 2018
