Route Number,ETA,Distance,Route,Time
1,16 min,21 miles,I-15 S,Wed Aug 22 22:44:45 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Wed Aug 22 22:44:45 2018
1,16 min,21 miles,I-15 S,Wed Aug 22 22:45:04 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Wed Aug 22 22:45:04 2018
1,16 min,21 miles,I-15 S,Wed Aug 22 22:45:21 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Wed Aug 22 22:45:21 2018
