Route Number,ETA,Distance,Route,Time
1,34 min,34.5 miles,Jefferson Davis Hwy; Russell Rd Quantico Station; I-95 N,Wed Aug 22 22:29:50 2018
2,48 min,33.3 miles,I-95 N,Wed Aug 22 22:29:50 2018
3,55 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge; to I-95 N / Washington Lorton,Wed Aug 22 22:29:50 2018
1,34 min,34.5 miles,Jefferson Davis Hwy; Russell Rd Quantico Station; I-95 N,Wed Aug 22 22:30:09 2018
2,48 min,33.3 miles,I-95 N,Wed Aug 22 22:30:09 2018
3,55 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge; to I-95 N / Washington Lorton,Wed Aug 22 22:30:09 2018
