Route Number,ETA,Distance,Route,Time
1,28 min,21.8 miles,I-405 S Long Beach,Wed Aug 22 22:36:42 2018
2,34 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Aug 22 22:36:42 2018
3,26 min,21.6 miles,I-405 S Carson; I-405 S HOV Long Beach,Wed Aug 22 22:36:42 2018
1,28 min,21.8 miles,I-405 S Long Beach,Wed Aug 22 22:37:01 2018
2,34 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Aug 22 22:37:01 2018
3,26 min,21.6 miles,I-405 S Carson; I-405 S HOV Long Beach,Wed Aug 22 22:37:01 2018
1,28 min,21.8 miles,I-405 S Long Beach,Wed Aug 22 22:37:18 2018
2,34 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Aug 22 22:37:18 2018
3,26 min,21.6 miles,I-405 S Carson; I-405 S HOV Long Beach,Wed Aug 22 22:37:18 2018
