Route Number,ETA,Distance,Route,Time
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:08:58 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:04 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:09 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:14 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:18 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:22 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:27 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:31 2018
1,36 min,17.1 mi,Via I-90 E,Mon Aug 13 11:09:36 2018
