Route Number,ETA,Distance,Route,Time
1,22 min min,16.3 miles,I-90/I-94 and I-90 E/I-94 E,Mon Aug 13 11:13:25 2018
2,24 min min,16.3 miles,I-90 E,Mon Aug 13 11:13:25 2018
1,22 min min,16.3 miles,I-90/I-94 and I-90 E/I-94 E,Mon Aug 13 11:13:32 2018
2,24 min min,16.3 miles,I-90 E,Mon Aug 13 11:13:32 2018
