Route Number,ETA,Distance,Route,Time
1,39 min min,15.4 miles,I-278 W,Mon Aug 13 11:14:18 2018
1,38 min min,15.4 miles,I-278 W,Mon Aug 13 11:14:24 2018
1,39 min min,15.4 miles,I-278 W,Mon Aug 13 11:14:30 2018
