Route Number,ETA,Distance,Route,Time
1,31 min,33.7 miles,I-15 N,Mon Aug 13 11:38:26 2018
1,30 min,33.7 miles,I-15 N,Mon Aug 13 11:38:33 2018
1,31 min,33.7 miles,I-15 N,Mon Aug 13 11:38:38 2018
